#circles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		 #rectangles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		
   6.3173125e-01   3.9884042e-01   3.8854500e-01  -1.4164053e-02           5.0047500e-01   4.7642297e-01   4.2989913e-01  -1.2168148e-02
   8.0880000e-01   2.7072756e-01   2.6624435e-01  -5.5796413e-04           5.1980000e-01   4.2604813e-01   4.5119045e-01  -5.5845476e-03
   7.2498125e-01   3.8790983e-01   2.7133690e-01   9.2678367e-04           6.9095625e-01   3.4549501e-01   3.2191502e-01  -6.6476045e-03
   6.0275625e-01   4.2966865e-01   4.1055229e-01   1.2720442e-02           7.8745000e-01   2.7728112e-01   2.9485796e-01  -1.0323877e-02
   3.3873750e-01   6.2204201e-01   6.1706770e-01  -4.6913414e-02           4.2139375e-01   5.3036230e-01   5.0465571e-01   2.9403830e-02
   6.0241250e-01   3.3573078e-01   4.5952043e-01  -1.0355495e-02           5.6158125e-01   4.1411674e-01   3.9879690e-01  -2.9434778e-02
   3.5776250e-01   5.5485371e-01   6.4918021e-01  -7.3821200e-03           7.0502500e-01   3.0596618e-01   3.1980872e-01  -8.7314133e-03
   7.5740000e-01   3.2106222e-01   2.8745463e-01  -2.1153466e-03           3.3685625e-01   5.7574251e-01   6.2809302e-01   2.5113644e-02
   7.1526875e-01   3.4728952e-01   2.8810996e-01   2.7549704e-03           4.1808750e-01   5.1841680e-01   5.4829534e-01  -2.7632859e-02
   6.2794375e-01   4.5681059e-01   3.0761957e-01  -4.8732669e-04           7.4636250e-01   3.1222735e-01   2.9149754e-01   1.6801539e-02
   3.3056250e-01   6.2314028e-01   6.4171223e-01  -1.3814979e-02           6.0125625e-01   4.0062161e-01   3.8066756e-01   5.9586958e-03
   6.7183750e-01   4.2365326e-01   2.8798332e-01  -4.1281705e-04           3.5981875e-01   5.6292244e-01   5.7478259e-01  -2.7374679e-02
   3.1290625e-01   6.4784577e-01   6.5981898e-01   3.4353019e-03           4.7294375e-01   4.9551268e-01   4.6544488e-01  -6.0359922e-03
   2.8020625e-01   7.1080114e-01   6.1333641e-01   1.3171819e-02           3.0171875e-01   6.5748145e-01   6.2736376e-01  -4.3301082e-03
   3.0882500e-01   6.5413526e-01   6.4541531e-01   1.0231605e-02           6.2047500e-01   3.9660300e-01   3.6156528e-01   7.3716272e-03
   5.6380625e-01   3.8825967e-01   4.4436767e-01  -2.2455891e-02           3.9681875e-01   5.6346894e-01   5.1816991e-01   4.6988795e-03
   5.4627500e-01   4.0263090e-01   4.0543182e-01  -2.4404685e-02           3.1299375e-01   6.2483555e-01   5.8929734e-01   5.6906881e-02
   7.1366875e-01   3.9079938e-01   2.7779903e-01   3.3756825e-03           7.8721875e-01   2.8826619e-01   2.8348699e-01   8.9854757e-04
   6.5108125e-01   3.5007071e-01   3.8146508e-01  -1.9429735e-02           2.3519375e-01   7.0350579e-01   7.1940061e-01  -6.1613187e-04
   7.7878125e-01   2.6922276e-01   3.2744517e-01   6.1728469e-03           2.9599375e-01   6.6494027e-01   6.3409991e-01   1.8039246e-02
   4.6491250e-01   5.0920498e-01   5.1713238e-01  -6.6686533e-03           4.1571250e-01   5.9341212e-01   4.2732905e-01  -3.7986280e-04
   7.4350625e-01   2.7428901e-01   3.2613849e-01   3.9988997e-03           6.2808125e-01   3.5621794e-01   3.7703383e-01   2.9230103e-02
   7.2996875e-01   3.6979047e-01   2.8135322e-01   6.2649654e-03           7.9948750e-01   2.8354920e-01   2.7034932e-01   2.5635603e-03
   7.8593750e-01   2.8833862e-01   2.7854920e-01  -2.0585221e-02           7.1793750e-01   3.1606758e-01   2.9848694e-01   2.0902734e-02
   6.5111250e-01   3.0115755e-01   4.4198704e-01   5.6745000e-04           4.1200000e-01   5.4847034e-01   5.3880356e-01   2.0604944e-02
   2.2037500e-01   7.2544874e-01   7.4874018e-01  -1.7962027e-02           6.2776875e-01   3.5582118e-01   3.6910705e-01  -1.6491763e-02
   5.8900000e-01   4.4099861e-01   4.0110651e-01  -2.2112127e-02           5.1822500e-01   4.2073998e-01   4.5275357e-01   3.1793827e-02
   4.3282500e-01   5.8118818e-01   4.5313632e-01  -3.6416618e-03           5.7126250e-01   3.9801155e-01   4.1586720e-01  -1.0537714e-02
   3.5784375e-01   5.4335208e-01   6.3334014e-01   2.7041308e-02           6.6080625e-01   3.3331521e-01   3.4800507e-01   1.6889491e-02
   5.0521875e-01   5.6358541e-01   3.5715096e-01   4.7309486e-03           5.6130625e-01   3.9434289e-01   4.4088838e-01  -1.7646047e-03
   5.4852500e-01   4.5048742e-01   3.6972020e-01  -1.9547138e-02           7.8805625e-01   2.8533405e-01   2.7403140e-01   1.2697205e-04
   6.4940625e-01   4.0822050e-01   3.3820035e-01   1.7454210e-02           3.4402500e-01   6.3673774e-01   5.4478533e-01   1.1082491e-03
   2.2073750e-01   7.5290949e-01   7.2978205e-01   1.2862089e-02           6.0940625e-01   3.8168633e-01   3.6326232e-01   7.4574723e-03
   5.9528750e-01   3.4845893e-01   4.5394231e-01   6.9164441e-03           2.8853125e-01   6.4434642e-01   6.6148121e-01  -1.4858685e-04
   7.2977500e-01   3.3181804e-01   3.0985938e-01  -1.6841228e-03           6.0164375e-01   3.6700701e-01   4.1521075e-01   1.7811536e-02
   5.9574375e-01   4.7173941e-01   3.3285662e-01  -5.0400245e-03           4.4615000e-01   5.1146571e-01   4.6338594e-01  -9.2500430e-03
   3.0834375e-01   6.1441957e-01   6.7450931e-01  -3.0293533e-02           3.1140000e-01   6.8709071e-01   5.7690829e-01   2.5068689e-02
   6.4144375e-01   3.7107846e-01   3.5327749e-01  -2.2623742e-03           7.9833750e-01   2.7271587e-01   2.7254533e-01   2.9515000e-03
   6.9821250e-01   3.8568140e-01   2.9938490e-01   6.8434957e-03           7.1323750e-01   3.3806225e-01   3.2343791e-01  -3.9364813e-03
   2.3180000e-01   7.4310420e-01   7.1518969e-01  -8.9860968e-03           3.6721250e-01   5.4142481e-01   6.0684595e-01   2.3186202e-02
   5.9704375e-01   3.6303348e-01   4.4414896e-01  -1.7170632e-03           3.0380000e-01   6.5490679e-01   5.7479357e-01   8.7261017e-03
   5.7176250e-01   4.3858471e-01   4.4038639e-01   8.3459940e-03           2.4063125e-01   7.2874078e-01   6.7224252e-01   2.0353281e-02
   7.0215625e-01   3.5051080e-01   3.3718496e-01   3.2962683e-03           6.3135625e-01   3.5398826e-01   3.8104569e-01   1.1176479e-02
   3.3440000e-01   6.5026297e-01   5.9804536e-01   2.5552830e-02           5.2686875e-01   4.0419038e-01   4.7476414e-01   1.2097027e-02
   7.5719375e-01   3.2354719e-01   2.8247609e-01   1.3091268e-03           2.3458750e-01   7.0083342e-01   7.1414795e-01  -9.1818269e-03
   6.9876875e-01   3.4449738e-01   3.3149597e-01  -1.3335195e-04           2.7829375e-01   6.5678686e-01   6.7965189e-01  -6.6969477e-03
   2.2957500e-01   7.2465245e-01   7.4084693e-01  -7.0771511e-03           3.6491250e-01   5.5584766e-01   5.7463333e-01  -2.2539135e-02
   5.5500000e-01   4.4873373e-01   4.6086582e-01   8.7405075e-03           3.2033125e-01   6.0799796e-01   6.2559255e-01  -2.4728479e-02
   2.3716875e-01   7.2045836e-01   7.1499740e-01  -8.6314658e-03           2.6071875e-01   6.8154340e-01   6.8254852e-01  -9.9857770e-03
   6.2957500e-01   3.8209764e-01   3.9843758e-01   5.1315358e-03           2.3936875e-01   6.6203233e-01   7.1926111e-01  -2.3110146e-02
   2.9014375e-01   6.9049997e-01   6.4427441e-01   3.7795510e-03           4.0547500e-01   5.5717899e-01   5.2038164e-01   2.1761806e-03
   3.7611875e-01   5.8448318e-01   5.7623148e-01   3.2571699e-02           7.3423750e-01   2.9834591e-01   3.0517205e-01   5.1756700e-03
   3.5962500e-01   6.1203166e-01   6.1285020e-01   3.2784767e-06           3.7190000e-01   5.7338615e-01   5.6568898e-01  -1.3811661e-02
   4.6821875e-01   5.2130717e-01   5.2224283e-01  -1.5901872e-05           4.6998125e-01   4.3498003e-01   5.0924591e-01  -1.1660001e-03
   5.1510625e-01   4.3812706e-01   5.0492449e-01   8.6610730e-03           5.8376250e-01   3.7452048e-01   4.1160942e-01   8.5740563e-03
   3.1076250e-01   6.2320793e-01   6.7462787e-01  -9.5609736e-03           7.6561250e-01   2.8479673e-01   2.9959497e-01  -4.0259796e-03
   3.5804375e-01   5.8921807e-01   5.9465715e-01   1.1698714e-02           3.5161875e-01   5.8549989e-01   5.9732592e-01  -2.2088624e-02
   3.2794375e-01   5.3452608e-01   6.8087908e-01   1.0053624e-02           6.6366250e-01   3.5907150e-01   3.4798840e-01   8.2750922e-03
   7.6295000e-01   3.2235028e-01   2.6498384e-01  -3.7624158e-03           5.4078750e-01   4.0260429e-01   4.4255656e-01   2.2931511e-03
   6.0265625e-01   3.7730920e-01   3.8368953e-01  -4.3016780e-02           6.6205625e-01   3.5938066e-01   3.4330945e-01   5.0383972e-03
   5.1381875e-01   5.5551555e-01   3.5753923e-01  -2.4240043e-03           2.6375625e-01   6.5378910e-01   6.6986072e-01  -5.8759662e-02
   6.5756250e-01   3.9250819e-01   3.2581419e-01   6.0664914e-03           4.6851250e-01   4.8456048e-01   4.6332536e-01   5.0156723e-02
   3.5075000e-01   6.1471759e-01   5.9269367e-01  -1.8698822e-02           3.6593750e-01   5.3231812e-01   5.8573547e-01  -5.6017552e-03
   7.7331250e-01   2.6843848e-01   3.3015491e-01  -1.8841138e-04           3.7726250e-01   5.1070213e-01   5.9377681e-01  -3.2185724e-02
   7.3318125e-01   3.5451836e-01   3.0100501e-01  -4.8829698e-04           3.5039375e-01   5.8202192e-01   6.1263710e-01  -1.3246835e-02
   5.5388750e-01   4.6660604e-01   3.6103358e-01  -3.9284416e-03           2.9631250e-01   6.3011972e-01   6.2548566e-01   1.9537128e-02
   5.4755000e-01   4.4988234e-01   4.3133664e-01  -1.2836831e-03           4.4967500e-01   5.1461155e-01   4.9831322e-01   1.9792571e-02
   3.9110000e-01   5.8484127e-01   5.8572237e-01   2.1837446e-06           6.1489375e-01   3.6682433e-01   3.7160589e-01  -1.8751686e-04
   7.3701875e-01   2.8193698e-01   3.5366218e-01  -3.4723446e-04           2.3359375e-01   7.3037584e-01   6.7964562e-01  -9.4263406e-03
   2.4760000e-01   7.2625171e-01   6.9742987e-01   1.5281999e-02           3.8794375e-01   5.5783313e-01   5.5036206e-01   2.8037732e-02
   5.1323125e-01   4.4117579e-01   4.8171223e-01   4.4529932e-03           5.4177500e-01   4.2501554e-01   4.3486126e-01   7.8528097e-04
   3.2236250e-01   6.3871744e-01   6.2763119e-01  -1.6017743e-02           3.4063125e-01   5.6933278e-01   5.7252804e-01  -2.5539573e-02
   7.5330625e-01   3.0217208e-01   3.1780450e-01  -1.0082286e-04           6.0476250e-01   4.0668786e-01   3.7402416e-01   2.0358121e-02
   4.2832500e-01   5.4378171e-01   5.2862618e-01   3.3024003e-03           4.5986875e-01   4.7407103e-01   5.0963316e-01  -1.9076716e-02
   4.9248750e-01   4.9123780e-01   4.7080577e-01  -9.3882312e-03           5.9901875e-01   3.8944741e-01   3.8359881e-01   3.5568459e-02
   2.3655000e-01   7.4416224e-01   6.9261313e-01  -2.2480920e-02           6.2260625e-01   3.5068361e-01   3.8192444e-01   6.1778404e-03
   7.8423750e-01   2.9150818e-01   2.8006764e-01  -1.6523285e-03           7.9135000e-01   2.7808962e-01   2.8009284e-01  -6.1127765e-04
