	#f_b 	 max kappa_11 	 max kappa_22 	 max kappa_12 	 mean kappa_11 	 mean kappa_22 	 mean kappa_12	 min kappa_11 	 min kappa_22 	 min kappa_12
   4.1782214e-01   6.1889996e-01   6.2733888e-01   4.7900342e-02   5.3452600e-01   5.2989366e-01   6.3693448e-04   4.1637464e-01   4.2732905e-01  -6.0889564e-02
   4.2425782e-01   6.2495071e-01   6.3740733e-01   6.2612344e-02   5.2861959e-01   5.2794794e-01  -2.2503631e-03   3.8947977e-01   4.0574401e-01  -6.3317561e-02
   4.3056068e-01   6.2958946e-01   6.1930130e-01   4.5410366e-02   5.1817087e-01   5.2434447e-01  -9.2719307e-04   3.9744555e-01   4.0126349e-01  -6.4048532e-02
   4.3619905e-01   6.1505032e-01   6.1112752e-01   4.9302017e-02   5.2285870e-01   5.1535113e-01  -2.5350017e-03   3.9642897e-01   4.1047467e-01  -5.6586331e-02
   4.4222330e-01   6.1604465e-01   6.1986946e-01   4.5888500e-02   5.1489750e-01   5.1447966e-01   5.5725732e-04   4.0002447e-01   3.9209484e-01  -4.3576967e-02
   4.4840228e-01   6.2246996e-01   6.0129776e-01   6.0742577e-02   5.0995141e-01   5.0980196e-01   2.0217530e-03   4.1280540e-01   3.7902769e-01  -3.9636658e-02
   4.5398092e-01   5.9143855e-01   6.0775092e-01   4.3863189e-02   5.0335938e-01   5.0268961e-01   6.4023657e-04   3.9106703e-01   3.9742684e-01  -4.8621523e-02
   4.6035430e-01   6.0241947e-01   5.9767066e-01   6.4420957e-02   4.9884367e-01   4.9699432e-01   1.7314671e-03   3.8432081e-01   3.8437853e-01  -4.2814300e-02
   4.6632272e-01   6.0737363e-01   5.9105087e-01   5.0156723e-02   4.8829187e-01   4.9649015e-01   1.7810467e-03   3.7984038e-01   3.6655115e-01  -3.0613346e-02
   4.7258622e-01   6.0895997e-01   6.0083951e-01   6.3661168e-02   4.8739790e-01   4.8279843e-01   2.1940422e-04   3.6176368e-01   3.5689081e-01  -5.7523220e-02
   4.7866602e-01   5.7323901e-01   5.7913281e-01   4.3162388e-02   4.8073465e-01   4.7931292e-01  -1.7102830e-03   3.8064333e-01   3.7545591e-01  -7.2794452e-02
   4.8507964e-01   5.7334796e-01   5.8485877e-01   5.0829066e-02   4.7518198e-01   4.8220514e-01  -5.0327283e-04   3.6165118e-01   3.7021898e-01  -5.0385748e-02
   4.9132239e-01   5.6760564e-01   5.7577996e-01   3.2412537e-02   4.7532687e-01   4.7313198e-01  -3.1092689e-03   3.6833849e-01   3.6040469e-01  -4.7871932e-02
   4.9720559e-01   5.5988737e-01   5.7971083e-01   3.9656804e-02   4.6945015e-01   4.6636714e-01   3.9726064e-04   3.5444025e-01   3.7168449e-01  -4.6001016e-02
   5.0329392e-01   5.6570745e-01   5.5098190e-01   4.1749184e-02   4.6345793e-01   4.6038390e-01  -1.6829120e-03   3.7248832e-01   3.5703757e-01  -6.8981389e-02
   5.0855815e-01   5.6000354e-01   5.5463462e-01   6.5170771e-02   4.6223593e-01   4.5826379e-01  -1.3107404e-03   3.5900560e-01   3.5775731e-01  -5.0267355e-02
   5.1451101e-01   5.5551555e-01   5.6395323e-01   4.7145495e-02   4.5343316e-01   4.5413320e-01   5.3153393e-05   3.4647790e-01   3.5753923e-01  -5.0351359e-02
   5.2096705e-01   5.6594088e-01   5.6288368e-01   3.7755242e-02   4.4646114e-01   4.5081525e-01  -1.4296068e-03   3.4655024e-01   3.3530582e-01  -4.6510899e-02
   5.2704197e-01   5.4234843e-01   5.5189505e-01   5.0340207e-02   4.3967789e-01   4.4608336e-01   9.7146440e-04   3.3841225e-01   3.5597280e-01  -3.9701647e-02
   5.3286672e-01   5.4899545e-01   5.5790342e-01   8.0953540e-02   4.3321081e-01   4.4635951e-01   2.5095180e-03   3.3060835e-01   3.4033116e-01  -7.2563332e-02
   5.3880410e-01   5.3567169e-01   5.3229481e-01   4.8563748e-02   4.3712040e-01   4.3380597e-01  -5.1128729e-04   3.5255160e-01   3.4084650e-01  -3.4762910e-02
   5.4457852e-01   5.3106913e-01   5.3381304e-01   5.8733833e-02   4.2956656e-01   4.3011275e-01  -2.2786284e-03   3.3781491e-01   3.3483803e-01  -3.3592641e-02
   5.5097844e-01   5.2960310e-01   5.3587747e-01   4.1335545e-02   4.2750061e-01   4.2558043e-01   9.4059494e-04   3.3169315e-01   3.3370740e-01  -6.0001532e-02
   5.5698030e-01   5.2273258e-01   5.1682778e-01   3.7133098e-02   4.1951217e-01   4.2567072e-01  -1.0733859e-03   3.3510888e-01   3.3603869e-01  -3.9748805e-02
   5.6267136e-01   5.3768033e-01   5.2547094e-01   4.1955328e-02   4.1426992e-01   4.2265425e-01  -4.3285072e-04   3.2651139e-01   3.1838338e-01  -4.0083856e-02
   5.6807359e-01   5.2133564e-01   5.1844547e-01   5.1029358e-02   4.1275605e-01   4.1637814e-01  -6.0956197e-04   3.2095564e-01   3.2346758e-01  -3.7621007e-02
   5.7415737e-01   5.2215918e-01   5.0291717e-01   4.6863638e-02   4.1242138e-01   4.0989384e-01  -7.5259433e-05   3.3453157e-01   3.1152873e-01  -3.9315169e-02
   5.8001879e-01   4.9254626e-01   5.0499195e-01   4.5305304e-02   4.0909910e-01   4.0392502e-01   1.5658808e-03   3.1891640e-01   3.3069610e-01  -3.4693700e-02
   5.8611089e-01   5.0983551e-01   5.0586290e-01   4.0245806e-02   4.0092349e-01   4.0124667e-01  -5.8259316e-04   3.1212009e-01   3.1491539e-01  -3.3374498e-02
   5.9239329e-01   5.0208386e-01   4.9912852e-01   3.2669927e-02   3.9960478e-01   4.0010338e-01  -7.2177217e-05   3.1692763e-01   3.1234989e-01  -8.8386216e-02
   5.9892219e-01   4.8940680e-01   5.0284366e-01   3.5689809e-02   3.9020646e-01   3.9771171e-01   1.1342413e-03   3.0639769e-01   3.0920428e-01  -2.8399763e-02
   6.0498125e-01   4.8377358e-01   4.7844950e-01   3.8273448e-02   3.8690603e-01   3.9179822e-01   8.7683621e-04   3.1494997e-01   3.1112102e-01  -4.3016780e-02
   6.1131755e-01   4.8685627e-01   4.8318416e-01   3.3026405e-02   3.8549986e-01   3.8724638e-01  -4.4165465e-04   3.0612959e-01   3.0548615e-01  -4.1859508e-02
   6.1690364e-01   4.8647056e-01   4.5926713e-01   5.9924686e-02   3.8382663e-01   3.7777598e-01   4.6327106e-04   3.1710279e-01   2.9897595e-01  -3.9808345e-02
   6.2271482e-01   4.8241542e-01   4.6278381e-01   3.3210986e-02   3.8128565e-01   3.7421273e-01   9.9876533e-04   3.0526263e-01   2.9726276e-01  -4.0483354e-02
   6.2825422e-01   4.5934450e-01   4.8079397e-01   4.8522670e-02   3.7107279e-01   3.7994887e-01   7.1983330e-04   2.9278951e-01   3.0690665e-01  -4.4766401e-02
   6.3426002e-01   4.6586622e-01   4.7332937e-01   2.8677297e-02   3.6802282e-01   3.6987530e-01  -4.3675751e-04   2.9167033e-01   2.9817273e-01  -5.9553918e-02
   6.4001258e-01   4.5816756e-01   4.5896272e-01   3.1770563e-02   3.6556659e-01   3.6402683e-01   3.1549095e-04   2.9668633e-01   2.9449947e-01  -3.6685200e-02
   6.4658858e-01   4.4998593e-01   4.5894243e-01   4.1371958e-02   3.5876377e-01   3.6762786e-01  -7.7359211e-04   2.9037360e-01   2.9701577e-01  -4.2280461e-02
